Questions ,Answers
What is the notice period ?,Notice period is of  3 months duration after your resignation
what is the notice period after i choose to resign from my post?,you will need to serve a notice period of 3 months after your resignation
Is the notice period negotiable?,"No Unfortunately, it is of standard 3 months duration"
can we negotiate over the notice period?,"No, Unfortunately you will need to serve the standard 3 month period, however it may be possible to buy out your notice period after neccessary approvals"
What is the NP in the probation period?,The notice period is 3 months in the probation period
what steps do i need to take to resign from my pst,One has to communicate the intent of resignation through email communication to the DC Chair and the DC manager after which the HRBP will follow up and communicate the necessay details.
What is the resignation process?,One has to communicate the intent of resignation through email communication to the DC Chair and the DC manager after which the HRBP will follow up and communicate the necessay details.
"By when can i expect the relieving/experience letter?
How long will it take to get my relieving/experience letter?
Can you tell me when i will get my relieving/experience letter?",Experience cum relieving letter is issued after 7 working days from the employees LWD or submission of asset whicever is later. The soft copy is shared on the emplyoees Personal email ID.
"By when can i expect my full & final Settlement/ salary?
How long will it take to get my final settlement/salary?
what's the timeline for getting my full and final settlement amount?",One will recieve the last month's salary along with FNF statement after 45 working days from his/ her LWD/Submission of assets whichever is later. The Salary will be credited to the salary account and FNF Statement will be mailed to the employee on their personal mail IDs.
"What is the exit clearance process?
Can you explain how the exit clearance process works","On the last working day one has to submit the assets and take clearance from the IT, Admin, Accounts Teams and DC Manager. After getting clearance, HRBP has to be updated and the Exit Interview would be conducted."
When will I be relieved if my Last working day is a holiday?,The employee will be relieved on a working day prior if it is a National Holiday or weekend.
"What all will I recieve in full and final amount?
What all components will be included in my full and final settlement
amount?
What all will be included in my full and final settlement?","Monthly Compensation (Basic Salary, HRA if any, Other Allowances if applicable), Prorated compensation of annual entitlements (Leave Travel Allowance), Organization’s contribution to the employee’s Provident Fund (as per rules), Encashment of Privileged leave (if applicable) till the last working day; Gratuity (if applicable)."
"Will I fall in appraisal if I am serving NP?
Will I be considered for appraisal if I am serving notice period?","No. Also, if he/she resigns within a month of the increment letter released, the letter stands withdrawn and he/she would be paid as per the previous appraisal letter."
"How can I calculate gratuity amount? 
can you please elaborate on gratuity amount calculation?
How is the gratuity amount calculated?","Last Drawn Basic Pay X No. of years of completed service (rounded to a full year) X 15 / 26 
This is only applicable if the employee has completed a minimum of 5 continuous years. "
What is the process of getting ESOPs credited?,You have to raise a request to esop@geminisolutions.com before your last working day.
"Exit process in case of Involuntary Exit
what should i expect if I'm terminated from my position?
what next if i am fired?
can you explain what happens during an an involuntary exit",1 month of Severance is paid from the date of initiation of discussion. Communication is done by HRBP which is followed up with the exit process
"Can I buyout the notice period?
Is it possible to waive my notice period?
Is it possible to buy out my notice period?
Am I allowed to buy out my notice period?
What is the process of buying out notice period?",The LWD as per the notice period should be mutually discussed with the DC Manager/DC Chair. Notice period buy out will be applicable only after necessary approvals
"Can I buyout notice period with my PLs?
Can I use my PLs(planned leaves) to buy notice period? ","No , you are not entitled to use your PLs for buying notice period"
What is the calculation of NP buyout,Montlhy fixed salary/30*Number of days remaining in the notice period.
How do I buyout notice period,"the calculation is based on dividing the monthly fixed salary by 30 and then multiplying by the number 
of days remaining in the notice period."
"Who does the travel policy apply to?
Is travel policy applicable to me?",The travel policy is applicable to all full-time employees.
"From when to when are expense reimbursements made according to the travel policy?
What is the reimbursement period for expenses according to the travel policy?
What should be done to plan a business trip outside the country?",Expense reimbursements are made as per the business requirement.
"What should one do if he/she is required to visit a foreign country for business purposes?
What steps should be taken for a business trip abroad?",One should raise a ticket on Helpdesk under the header “Business Visa Application.”
